mus_menu_fate_lost            91.76s  peak   -3.6 dBFS  rms  -17.2 dB  (24.2s)
mus_battle_ashen_wilds        89.14s  peak   -3.7 dBFS  rms  -15.3 dB  (14.8s)
mus_defeat                    14.49s  peak   -5.5 dBFS  rms  -17.2 dB  (1.8s)
amb_ashen_wilds               48.00s  peak   -4.7 dBFS  rms  -26.1 dB  (2.1s)
sfx_swing_1                    0.26s  peak   -3.0 dBFS  rms  -15.9 dB  (0.0s)
sfx_swing_2                    0.29s  peak   -3.0 dBFS  rms  -16.5 dB  (0.0s)
sfx_swing_3                    0.32s  peak   -3.0 dBFS  rms  -13.2 dB  (0.0s)
sfx_hit_1                      0.20s  peak   -1.5 dBFS  rms  -10.0 dB  (0.0s)
sfx_hit_2                      0.20s  peak   -1.5 dBFS  rms  -11.3 dB  (0.0s)
sfx_hit_3                      0.20s  peak   -1.5 dBFS  rms   -9.8 dB  (0.0s)
sfx_hit_critical               0.50s  peak   -1.0 dBFS  rms  -15.1 dB  (0.0s)
sfx_goblin_death_1             0.34s  peak   -3.0 dBFS  rms  -10.0 dB  (0.0s)
sfx_goblin_death_2             0.34s  peak   -3.0 dBFS  rms   -9.9 dB  (0.0s)
sfx_player_hurt                0.32s  peak   -1.0 dBFS  rms   -8.4 dB  (0.0s)
sfx_player_death               1.60s  peak   -1.0 dBFS  rms   -8.3 dB  (0.0s)
sfx_bow_shot                   0.34s  peak   -3.0 dBFS  rms  -16.2 dB  (0.0s)
sfx_arcane_cast                0.62s  peak   -3.0 dBFS  rms  -12.2 dB  (0.0s)
sfx_arcane_burst               0.95s  peak   -1.0 dBFS  rms  -16.3 dB  (0.1s)
ui_confirm                     0.70s  peak   -6.0 dBFS  rms  -14.1 dB  (0.0s)
ui_back                        0.35s  peak   -7.0 dBFS  rms  -15.8 dB  (0.0s)
sfx_ember_1                    0.45s  peak   -8.0 dBFS  rms  -15.8 dB  (0.0s)
sfx_ember_2                    0.45s  peak   -8.0 dBFS  rms  -15.9 dB  (0.0s)
sfx_ember_3                    0.45s  peak   -8.0 dBFS  rms  -15.7 dB  (0.0s)
sfx_ember_4                    0.45s  peak   -8.0 dBFS  rms  -15.9 dB  (0.0s)
sfx_ember_5                    0.45s  peak   -8.0 dBFS  rms  -16.0 dB  (0.0s)
sfx_level_up                   2.20s  peak   -1.0 dBFS  rms  -10.0 dB  (0.2s)
ui_skill_learn                 0.55s  peak   -6.0 dBFS  rms  -17.9 dB  (0.0s)
ui_tree_open                   0.80s  peak   -7.0 dBFS  rms  -18.4 dB  (0.1s)
sfx_ab_impact                  0.50s  peak   -1.0 dBFS  rms  -10.6 dB  (0.0s)
sfx_ab_fire                    0.80s  peak   -2.0 dBFS  rms  -16.4 dB  (0.0s)
sfx_ab_frost                   0.80s  peak   -3.0 dBFS  rms  -16.9 dB  (0.0s)
sfx_ab_lightning               0.55s  peak   -2.0 dBFS  rms  -18.0 dB  (0.0s)
sfx_ab_holy                    1.00s  peak   -2.0 dBFS  rms  -13.4 dB  (0.1s)
sfx_ab_shadow                  0.80s  peak   -2.0 dBFS  rms  -14.7 dB  (0.0s)
sfx_ab_nature                  0.70s  peak   -3.0 dBFS  rms  -17.4 dB  (0.0s)
sfx_ab_sonic                   0.80s  peak   -3.0 dBFS  rms  -13.6 dB  (0.1s)
sfx_ab_buff                    0.90s  peak   -3.0 dBFS  rms  -10.0 dB  (0.0s)
sfx_summon                     0.90s  peak   -3.0 dBFS  rms   -8.6 dB  (0.0s)
sfx_dash                       0.30s  peak   -4.0 dBFS  rms  -14.0 dB  (0.0s)
sfx_heal                       0.70s  peak   -7.0 dBFS  rms  -16.8 dB  (0.0s)
sfx_dodge                      0.22s  peak   -6.0 dBFS  rms  -16.9 dB  (0.0s)
sfx_keg_blast                  1.10s  peak   -1.0 dBFS  rms  -12.1 dB  (0.0s)
sfx_shapeshift                 0.90s  peak   -2.0 dBFS  rms  -14.7 dB  (0.0s)
